Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Drug use,"DALYs per 100,000",10.20465089,4.188483113,20.79926506
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High fasting plasma glucose,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High fasting plasma glucose,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High fasting plasma glucose,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High systolic blood pressure,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High systolic blood pressure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High systolic blood pressure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High body-mass index,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High body-mass index,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low bone mineral density,DALYs,79.32263335,59.17078229,100.8488933
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low bone mineral density,"DALYs per 100,000",0.540049363,0.402850258,0.686605806
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fruits,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fruits,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in vegetables,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in vegetables,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in vegetables,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in whole grains,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in whole grains,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in whole grains,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in nuts and seeds,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in nuts and seeds,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in nuts and seeds,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in milk,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in milk,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in milk,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in red meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in red meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in red meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in processed meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in processed meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in processed meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sugar-sweetened beverages,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sugar-sweetened beverages,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sugar-sweetened beverages,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fiber,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fiber,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in fiber,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in seafood omega-3 fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in seafood omega-3 fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in seafood omega-3 fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in polyunsaturated fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in polyunsaturated fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in polyunsaturated fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in trans fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in trans fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in trans fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sodium,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sodium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet high in sodium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low physical activity,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low physical activity,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low physical activity,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational asthmagens,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational asthmagens,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational asthmagens,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,"Occupational particulate matter, gases, and fumes",DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,"Occupational particulate matter, gases, and fumes",Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,"Occupational particulate matter, gases, and fumes","DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational noise,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational noise,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational noise,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational injuries,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational injuries,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational injuries,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational ergonomic factors,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational ergonomic factors,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational ergonomic factors,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Childhood sexual abuse,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Childhood sexual abuse,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Childhood sexual abuse,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Intimate partner violence,DALYs,1047.622745,821.8671853,1299.760379
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Intimate partner violence,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Intimate partner violence,"DALYs per 100,000",7.132491346,5.595488087,8.849110717
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Non-exclusive breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Non-exclusive breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Non-exclusive breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Discontinued breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Discontinued breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Discontinued breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in calcium,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in calcium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in calcium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to asbestos,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to asbestos,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to asbestos,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to arsenic,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to arsenic,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to arsenic,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to benzene,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to benzene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to benzene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to beryllium,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to beryllium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to beryllium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to cadmium,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to cadmium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to cadmium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to chromium,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to chromium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to chromium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to diesel engine exhaust,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to diesel engine exhaust,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to diesel engine exhaust,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to formaldehyde,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to formaldehyde,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to formaldehyde,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to nickel,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to nickel,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to nickel,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to polycyclic aromatic hydrocarbons,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to polycyclic aromatic hydrocarbons,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to polycyclic aromatic hydrocarbons,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to silica,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to silica,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to silica,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to sulfuric acid,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to sulfuric acid,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to sulfuric acid,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sex,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sex,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Unsafe sex,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to trichloroethylene,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to trichloroethylene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Occupational exposure to trichloroethylene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,No access to handwashing facility,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,No access to handwashing facility,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,No access to handwashing facility,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child wasting,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child wasting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child wasting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child stunting,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child stunting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Child stunting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Chewing tobacco,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Chewing tobacco,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Chewing tobacco,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in legumes,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in legumes,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Diet low in legumes,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Short gestation for birth weight,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Short gestation for birth weight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Short gestation for birth weight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low birth weight for gestation,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low birth weight for gestation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Low birth weight for gestation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Impaired kidney function,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Impaired kidney function,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Impaired kidney function,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Bullying victimization,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Bullying victimization,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,Bullying victimization,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High LDL cholesterol,DALYs,0,0,0
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High LDL cholesterol,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Self-harm and interpersonal violence,High LDL cholesterol,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe water source,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe water source,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe water source,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe sanitation,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe sanitation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Unsafe sanitation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Ambient particulate matter pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Ambient particulate matter pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Ambient particulate matter pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Household air pollution from solid fuels,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Household air pollution from solid fuels,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Household air pollution from solid fuels,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Ambient ozone pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Ambient ozone pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Ambient ozone pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Residential radon,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Residential radon,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Residential radon,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Lead exposure,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Lead exposure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Lead exposure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Child underweight,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Child underweight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Child underweight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Iron deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Iron deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Iron deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Vitamin A deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Vitamin A deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Vitamin A deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Zinc deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Zinc deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Zinc deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Smoking,DALYs,198.8238081,137.6831232,280.3532794
Senegal,2017,All ages,Both,Unintentional injuries,Smoking,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Smoking,"DALYs per 100,000",1.353644809,0.937382937,1.908718906
Senegal,2017,All ages,Both,Unintentional injuries,Secondhand smoke,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Secondhand smoke,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Secondhand smoke,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Alcohol use,DALYs,977.0606919,292.7530435,1986.952368
Senegal,2017,All ages,Both,Unintentional injuries,Alcohol use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Alcohol use,"DALYs per 100,000",6.652086322,1.993139763,13.52769462
Senegal,2017,All ages,Both,Unintentional injuries,Drug use,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Drug use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Drug use,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High fasting plasma glucose,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High fasting plasma glucose,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,High fasting plasma glucose,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High systolic blood pressure,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High systolic blood pressure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,High systolic blood pressure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High body-mass index,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,High body-mass index,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Low bone mineral density,DALYs,5458.105234,4598.57103,6318.989876
Senegal,2017,All ages,Both,Unintentional injuries,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Low bone mineral density,"DALYs per 100,000",37.16021684,31.30828177,43.02134603
Senegal,2017,All ages,Both,Unintentional injuries,Diet low in fruits,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Unintentional injuries,Diet low in fruits,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Diet low in vegetables,DALYs,0,0,0
Senegal,2017,All ages,Both,Unintentional injuries,Diet low in vegetables,Percent of total DALYs,0,,
